/js/jquery3.5.min.js-191,20,8734,5253,18813,28548,30252,2030,30252,0.000%,.61538,20.45,0.26
/css/lib-3b502e9f21.css-192,20,8136,5825,18369,23065,26251,437,26251,0.000%,.57763,28.06,0.25
/css/app-1a3af07598.css-193,20,1238,416,3300,4526,5346,406,5346,0.000%,.61248,2.57,0.27
/js/jquery.min.js-194,20,20952,4209,9286,30941,311057,831,311057,5.000%,.06201,1.97,0.02
/js/config.js-197,20,769,414,838,863,5900,394,5900,0.000%,.06125,0.04,0.03
/images/hpe-logo-white.png-198,20,837,412,1954,2254,2298,394,2298,0.000%,.06123,0.11,0.03
/css/content.css-190,20,23766,16368,29488,46623,129334,4204,129334,0.000%,.06052,10.64,0.03
/images/hpe-flag.png-202,20,1061,448,2480,3752,4021,401,4021,0.000%,.06392,0.06,0.03
/css/hpe_fonts/MetricWeb-Light.woff-203,20,5068,4582,9068,10137,11650,609,11650,0.000%,.06388,2.78,0.03
/css/hpe_fonts/MetricWeb-Semibold.woff-204,20,5359,4451,9154,9463,10221,614,10221,0.000%,.06489,2.94,0.03
/images/landingPage.jpg-201,20,13500,9054,30421,35916,35969,926,35969,0.000%,.06511,7.48,0.03
/workload-205,20,2739,1224,4297,8518,19522,329,19522,0.000%,.06593,0.77,0.04
/css/lib-3b502e9f21.css-207,20,5382,3402,6252,6479,35035,774,35035,0.000%,.06595,3.14,0.03
/css/app-1a3af07598.css-208,20,1394,423,3863,3871,7848,331,7848,0.000%,.06660,0.27,0.03
/js/workload.js-209,20,740,409,1800,2079,2628,373,2628,0.000%,.06662,0.20,0.03
/css/content.css-206,20,17806,16915,28702,32223,35369,1587,35369,0.000%,.06636,11.38,0.03
/images/hpe-logo-white.png-213,20,1187,415,3111,3144,4174,399,4174,0.000%,.06918,0.13,0.03
/js/jquery.min.js-212,20,9765,2328,13089,16106,113029,944,113029,0.000%,.06906,2.26,0.03
/js/config.js-214,20,952,419,2082,3253,4153,394,4153,0.000%,.06924,0.04,0.03
/images/hpe-flag.png-219,20,939,418,1192,1520,6435,394,6435,0.000%,.06934,0.07,0.03
/api/workload_api.php-218,20,608,459,863,1228,2179,440,2179,0.000%,.06943,0.07,0.04
/css/fonts/hpe-icons.woff-215,20,3401,2790,6668,6758,7719,747,7719,0.000%,.06937,2.32,0.03
/css/hpe_fonts/MetricWeb-Light.woff-216,20,4450,3184,9049,9827,12523,609,12523,0.000%,.06963,3.03,0.03
/css/hpe_fonts/MetricWeb-Medium.woff-217,20,15315,3619,6782,47911,194928,489,194928,5.000%,.07037,2.72,0.03
