Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SSD/images/hpe-flag.png-75,50,5143,1367,15058,4572.54,0.000%,.68455,0.66,0.25,981.0
SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,50,4556,678,20983,5451.17,0.000%,.64053,29.05,0.27,46442.0
SSD/css/hpe_fonts/MetricWeb-Light.woff-78,50,2448,351,13944,3200.55,0.000%,.61663,26.86,0.26,44598.0
SSD/images/landingPage.jpg-73,50,3384,694,16995,3568.90,0.000%,.57687,66.29,0.20,117676.0
SSD/workload.php-82,50,967,331,4164,921.66,0.000%,.57051,6.43,0.23,11546.0
SSD/js/workload.js-83,50,795,332,4209,715.66,0.000%,.56475,1.67,0.18,3021.3
SSD/css/fonts/hpe-icons.woff-85,50,1236,350,8430,1490.34,0.000%,.55400,18.53,0.21,34245.0
SSD/css/hpe_fonts/MetricWeb-Medium.woff-84,50,1277,350,7299,1366.87,0.000%,.54400,22.01,0.22,41426.0
SSD/api/workload_api.php-86,50,819,369,3189,588.73,0.000%,.54332,0.55,0.26,1036.0
SSD/ssd-type.php-87,50,858,340,3492,651.35,0.000%,.54152,6.56,0.23,12401.0
SSD/js/ssd-type.js-88,50,810,325,4166,746.41,0.000%,.54055,0.84,0.17,1595.0
SSD/css/hpe_fonts/HPESimpleWeb-Regular.woff-89,50,891,340,7109,1075.53,0.000%,.53781,9.01,0.22,17162.0
SSD/server-type.php-90,50,794,344,3545,628.92,0.000%,.53375,6.41,0.22,12295.0
SSD/js/server-type.js-91,50,724,328,3796,674.74,0.000%,.53367,1.51,0.17,2895.8
SSD/css/hpe_fonts/MetricWeb-Regular.woff-92,50,1652,360,13894,2545.89,0.000%,.50374,22.22,0.20,45174.0
SSD/api/server_model_api.php?sid=null-96,50,1085,365,4263,1057.30,0.000%,.48930,0.25,0.25,519.0
SSD/api/server_type_api.php-97,50,932,371,3524,710.67,0.000%,.48467,0.31,0.24,662.0
SSD/api/server_model_api.php?sid=5-98,50,986,363,4165,845.65,0.000%,.48140,0.26,0.24,544.0
SSD/drive-capacity.php-99,50,1843,338,11711,2708.85,0.000%,.47287,5.24,0.20,11343.0
SSD/js/drive-capacity.js-101,50,968,323,4070,909.09,0.000%,.47299,0.80,0.16,1734.6
SSD/css/noUiSlider/distribute/nouislider.min.js-100,50,1138,343,9468,1459.67,0.000%,.46741,4.17,0.17,9129.3
SSD/css/noUiSlider/distribute/nouislider.min.css-102,50,883,330,3418,731.29,0.000%,.45902,0.74,0.17,1658.7
SSD/api/drive_capacity_api.php?server_id=1&model_name=BL460c%20Gen10&loadtype=[%22WI%22]-103,50,901,371,3104,627.51,0.000%,.45678,0.22,0.25,503.0
SSD/interface-type.php-104,50,1187,345,11390,2043.12,0.000%,.45638,5.33,0.20,11960.0
SSD/js/interface-type.js-105,50,818,326,3597,691.66,0.000%,.45563,1.16,0.15,2611.7
SSD/api/interface_type_api.php-109,50,806,376,3264,610.33,0.000%,.45294,0.31,0.23,702.0
SSD/api/interface_api.php-110,50,812,373,3158,600.64,0.000%,.45060,0.24,0.25,541.0
SSD/form-factor.php-111,50,947,346,5962,1025.41,0.000%,.44989,4.80,0.19,10924.0
SSD/js/form-factor.js-112,50,970,333,4268,973.70,0.000%,.44889,1.07,0.15,2444.7
SSD/api/form_factor_api.php-113,50,1037,370,4188,971.98,0.000%,.44657,0.35,0.22,809.0
SSD/api/form_factor_type_api.php-117,50,1221,369,4128,1126.99,0.000%,.44501,0.24,0.25,544.0
SSD/images/LFF%20SATA.jpg-115,50,2297,347,15271,3057.97,0.000%,.44238,10.68,0.15,24714.0
SSD/images/SFF%20SATA.jpg-116,50,1731,351,8690,1886.29,0.000%,.43861,9.28,0.15,21660.0
SSD/images/M.2-Enablement-Kit-for-MLDL-single.jpg-114,50,2052,352,12052,2852.52,0.000%,.43630,12.64,0.16,29656.0
SSD/images/SSD%20SATA%20M.2%202280.JPG-118,50,1509,349,7136,1557.24,0.000%,.42861,12.55,0.15,29979.0
SSD/images/PCIe%20NVMe%20Workload%20Accelerator%20HHHL.jpg-119,50,1363,355,7739,1397.51,0.000%,.42676,12.52,0.16,30035.0
SSD/mainstream.php-120,50,1010,348,6543,1178.95,0.000%,.42669,4.81,0.18,11535.0
SSD/js/mainstream.js-121,50,776,329,3829,691.58,0.000%,.42617,0.51,0.14,1234.0
SSD/recommendation.php-122,50,1102,402,5296,1162.57,0.000%,.42553,7.03,0.18,16923.0
SSD/css/jquery-ui.css-126,50,884,354,5229,892.71,0.000%,.42579,3.89,0.15,9362.5
SSD/css/customSlider.css-128,50,832,331,3846,851.23,0.000%,.42585,0.58,0.15,1384.0
SSD/css/bootstrapslider.css-127,50,780,338,6268,932.01,0.000%,.42566,1.14,0.15,2751.7
SSD/css/bootstrap/bootstrap.min.css-125,50,978,339,9346,1464.17,0.000%,.42544,8.81,0.15,21199.7
SSD/js/recommendation.js-129,50,899,335,3962,837.96,0.000%,.42523,2.43,0.14,5862.2
SSD/js/customSlider.js-133,50,864,340,4303,881.82,0.000%,.42409,1.03,0.14,2478.4
SSD/js/validation.js-135,50,784,323,3633,617.65,0.000%,.42345,0.52,0.14,1260.5
SSD/js/bootstrap/bootstrap.min.js-134,50,803,347,3589,678.56,0.000%,.42326,5.64,0.14,13656.3
SSD/js/jquery-ui.min.js-132,50,1948,381,13325,2337.92,0.000%,.42015,29.83,0.14,72710.3
SSD/js/serverCompatibility.js-136,50,716,331,4030,675.57,0.000%,.42064,0.44,0.14,1075.0
SSD/api/result_api.php-137,50,907,382,4304,826.75,0.000%,.42051,0.73,0.32,1774.0
SSD/api/server_model_api.php?sid=5-138,50,927,367,4114,878.43,0.000%,.42085,0.22,0.21,544.0
