Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SSD/images/hpe-flag.png-75,50,1848,1412,2717,329.51,0.000%,2.27511,2.18,0.83,981.0
SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,50,963,727,1475,188.51,0.000%,2.30872,104.71,0.98,46442.0
SSD/css/hpe_fonts/MetricWeb-Light.woff-78,50,542,382,1458,179.06,0.000%,2.32753,101.37,0.98,44598.0
SSD/images/landingPage.jpg-73,50,1024,706,2032,255.51,0.000%,2.30128,264.46,0.81,117676.0
SSD/workload.php-82,50,472,352,808,111.02,0.000%,2.34566,26.45,0.95,11546.0
SSD/js/workload.js-83,50,479,343,730,104.16,0.000%,2.34225,6.88,0.75,3010.0
SSD/css/fonts/hpe-icons.woff-85,50,530,366,1129,146.82,0.000%,2.32786,77.85,0.90,34245.0
SSD/css/hpe_fonts/MetricWeb-Medium.woff-84,50,567,377,1283,211.20,0.000%,2.31342,93.59,0.92,41426.0
SSD/api/workload_api.php-86,50,530,390,810,110.19,0.000%,2.30712,2.33,1.12,1036.0
SSD/ssd-type.php-87,50,477,370,806,81.69,0.000%,2.31000,27.97,0.96,12401.0
SSD/js/ssd-type.js-88,50,476,333,804,112.67,0.000%,2.30915,3.58,0.74,1589.0
SSD/css/hpe_fonts/HPESimpleWeb-Regular.woff-89,50,500,366,1361,147.54,0.000%,2.30372,38.61,0.92,17162.0
SSD/server-type.php-90,50,480,353,835,117.88,0.000%,2.31086,27.75,0.97,12295.0
SSD/js/server-type.js-91,50,470,334,756,108.34,0.000%,2.32591,6.55,0.76,2883.0
SSD/css/hpe_fonts/MetricWeb-Regular.woff-92,50,559,366,1302,191.02,0.000%,2.32472,102.56,0.92,45174.0
SSD/api/server_model_api.php?sid=null-96,50,495,375,719,93.68,0.000%,2.33242,1.18,1.17,519.0
SSD/api/server_type_api.php-97,50,520,380,839,114.93,0.000%,2.33046,1.51,1.15,662.0
SSD/api/server_model_api.php?sid=5-98,50,514,385,829,113.31,0.000%,2.29642,1.22,1.15,544.0
SSD/drive-capacity.php-99,50,472,336,765,108.55,0.000%,2.30192,25.50,0.98,11343.0
SSD/js/drive-capacity.js-101,50,481,323,796,120.50,0.000%,2.30595,3.89,0.77,1729.0
SSD/css/noUiSlider/distribute/nouislider.min.js-100,50,483,331,873,132.88,0.000%,2.31374,20.54,0.82,9092.0
SSD/css/noUiSlider/distribute/nouislider.min.css-102,50,466,327,870,121.68,0.000%,2.31943,3.74,0.86,1653.0
SSD/api/drive_capacity_api.php?server_id=1&model_name=BL460c%20Gen10&loadtype=[%22WI%22]-103,50,514,374,817,109.49,0.000%,2.30330,1.13,1.28,503.0
SSD/interface-type.php-104,50,501,353,868,128.30,0.000%,2.28561,26.70,0.98,11960.0
SSD/js/interface-type.js-105,50,493,345,763,123.16,0.000%,2.29263,5.83,0.76,2602.0
SSD/api/interface_type_api.php-109,50,532,369,815,116.13,0.000%,2.30958,1.58,1.15,702.0
SSD/api/interface_api.php-110,50,567,370,1391,183.13,0.000%,2.31675,1.22,1.26,541.0
SSD/form-factor.php-111,50,470,350,791,106.72,0.000%,2.32040,24.75,0.99,10924.0
SSD/js/form-factor.js-112,50,460,347,841,119.17,0.000%,2.33689,5.56,0.76,2436.0
SSD/api/form_factor_api.php-113,50,520,384,805,123.80,0.000%,2.33623,1.85,1.15,809.0
SSD/api/form_factor_type_api.php-117,50,525,384,912,117.94,0.000%,2.32580,1.24,1.33,544.0
SSD/images/LFF%20SATA.jpg-115,50,491,345,756,103.82,0.000%,2.33536,56.36,0.80,24714.0
SSD/images/SFF%20SATA.jpg-116,50,496,349,826,125.20,0.000%,2.36217,49.97,0.81,21660.0
SSD/images/M.2-Enablement-Kit-for-MLDL-single.jpg-114,50,490,336,775,120.81,0.000%,2.36911,68.61,0.86,29656.0
SSD/images/SSD%20SATA%20M.2%202280.JPG-118,50,480,356,1240,154.60,0.000%,2.39452,70.10,0.85,29979.0
SSD/images/PCIe%20NVMe%20Workload%20Accelerator%20HHHL.jpg-119,50,482,347,839,128.02,0.000%,2.40004,70.40,0.90,30035.0
SSD/mainstream.php-120,50,455,346,775,116.77,0.000%,2.43214,27.40,1.03,11535.0
SSD/js/mainstream.js-121,50,438,328,746,103.92,0.000%,2.46804,2.97,0.80,1234.0
SSD/recommendation.php-122,50,524,407,943,111.22,0.000%,2.49451,41.23,1.06,16923.0
SSD/css/jquery-ui.css-126,50,451,340,721,102.41,0.000%,2.54816,23.16,0.88,9308.0
SSD/css/customSlider.css-128,50,428,331,734,95.84,0.000%,2.55885,3.46,0.89,1384.0
SSD/css/bootstrapslider.css-127,50,431,339,786,85.86,0.000%,2.58491,6.91,0.90,2738.0
SSD/css/bootstrap/bootstrap.min.css-125,50,435,353,770,94.51,0.000%,2.63296,53.91,0.94,20966.0
SSD/js/recommendation.js-129,50,407,335,777,78.18,0.000%,2.65745,15.11,0.88,5821.0
SSD/js/customSlider.js-133,50,414,337,1010,118.34,0.000%,2.66923,6.42,0.88,2461.0
SSD/js/validation.js-135,50,384,334,530,44.07,0.000%,2.67824,3.28,0.88,1255.0
SSD/js/bootstrap/bootstrap.min.js-134,50,417,347,572,59.53,0.000%,2.67924,35.46,0.91,13554.0
SSD/js/jquery-ui.min.js-132,50,532,365,1298,201.22,0.000%,2.67194,188.31,0.88,72169.0
SSD/js/serverCompatibility.js-136,50,402,335,813,81.36,0.000%,2.68010,2.81,0.90,1075.0
SSD/api/result_api.php-137,50,467,381,923,120.19,0.000%,2.69440,4.67,2.05,1774.0
SSD/api/server_model_api.php?sid=5-138,50,458,375,911,105.59,0.000%,2.71341,1.44,1.36,544.0
SSD/images/-139,50,384,324,521,45.77,100.000%,2.74003,0.95,0.90,356.0
TOTAL,2600,527,323,2717,252.82,1.923%,57.46237,807.38,23.13,14387.8
