Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SSD/images/hpe-flag.png-75,10,1452,1381,1705,95.03,0.000%,3.12500,2.99,1.14,981.0
SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,10,726,668,789,37.86,0.000%,4.52489,205.22,1.92,46442.0
SSD/css/hpe_fonts/MetricWeb-Light.woff-78,10,459,369,1094,212.54,0.000%,5.27704,229.83,2.22,44598.0
SSD/images/landingPage.jpg-73,10,906,705,2079,403.03,0.000%,3.39443,390.08,1.20,117676.0
SSD/workload.php-82,10,370,342,400,17.89,0.000%,3.89864,43.96,1.58,11546.0
SSD/js/workload.js-83,10,349,334,367,12.05,0.000%,3.93701,11.79,1.26,3066.6
SSD/css/fonts/hpe-icons.woff-85,10,436,347,691,117.51,0.000%,3.45423,115.52,1.33,34245.0
SSD/css/hpe_fonts/MetricWeb-Medium.woff-84,10,436,351,714,125.45,0.000%,3.06560,124.02,1.22,41426.0
SSD/api/workload_api.php-86,10,399,387,428,11.61,0.000%,3.04507,3.08,1.48,1036.0
SSD/ssd-type.php-87,10,353,336,392,14.79,0.000%,3.08547,37.37,1.29,12401.0
SSD/js/ssd-type.js-88,10,342,331,370,11.62,0.000%,3.09406,4.89,0.99,1618.8
SSD/css/hpe_fonts/HPESimpleWeb-Regular.woff-89,10,350,344,369,7.31,0.000%,3.09310,51.84,1.24,17162.0
SSD/server-type.php-90,10,361,343,380,12.22,0.000%,3.07125,36.88,1.29,12295.0
SSD/js/server-type.js-91,10,347,330,364,8.25,0.000%,3.08356,8.90,1.01,2955.0
SSD/css/hpe_fonts/MetricWeb-Regular.woff-92,10,483,360,758,165.72,0.000%,2.73598,120.70,1.09,45174.0
SSD/api/server_model_api.php?sid=null-96,10,386,370,401,9.72,0.000%,2.71592,1.38,1.37,519.0
SSD/api/server_type_api.php-97,10,398,376,483,29.69,0.000%,2.71003,1.75,1.34,662.0
SSD/api/server_model_api.php?sid=5-98,10,402,364,456,27.27,0.000%,2.70783,1.44,1.35,544.0
SSD/drive-capacity.php-99,10,367,338,423,31.23,0.000%,2.73748,30.32,1.17,11343.0
SSD/js/drive-capacity.js-101,10,349,325,389,19.47,0.000%,2.73898,4.70,0.91,1756.9
SSD/css/noUiSlider/distribute/nouislider.min.js-100,10,358,338,390,17.97,0.000%,2.73748,24.80,0.97,9278.6
SSD/css/noUiSlider/distribute/nouislider.min.css-102,10,362,328,412,26.91,0.000%,2.69978,4.43,1.00,1681.4
SSD/api/drive_capacity_api.php?server_id=1&model_name=BL460c%20Gen10&loadtype=[%22WI%22]-103,10,393,371,445,20.49,0.000%,2.67237,1.31,1.48,503.0
SSD/interface-type.php-104,10,351,341,371,9.26,0.000%,2.74198,32.03,1.18,11960.0
SSD/js/interface-type.js-105,10,341,332,354,7.02,0.000%,2.73748,7.09,0.91,2650.5
SSD/api/interface_type_api.php-109,10,382,365,420,15.01,0.000%,2.70343,1.85,1.35,702.0
SSD/api/interface_api.php-110,10,393,372,425,16.42,0.000%,2.70783,1.43,1.48,541.0
SSD/form-factor.php-111,10,351,339,371,9.73,0.000%,2.72851,29.11,1.16,10924.0
SSD/js/form-factor.js-112,10,348,330,396,19.35,0.000%,2.73448,6.62,0.89,2479.5
SSD/api/form_factor_api.php-113,10,391,374,417,14.49,0.000%,2.70563,2.14,1.33,809.0
SSD/api/form_factor_type_api.php-117,10,394,375,445,19.57,0.000%,2.69906,1.43,1.54,544.0
SSD/images/LFF%20SATA.jpg-115,10,368,346,422,20.81,0.000%,2.68962,64.91,0.92,24714.0
SSD/images/SFF%20SATA.jpg-116,10,375,348,410,20.51,0.000%,2.67666,56.62,0.91,21660.0
SSD/images/M.2-Enablement-Kit-for-MLDL-single.jpg-114,10,381,346,431,21.72,0.000%,2.65675,76.94,0.97,29656.0
SSD/images/SSD%20SATA%20M.2%202280.JPG-118,10,377,350,468,32.85,0.000%,2.67666,78.36,0.95,29979.0
SSD/images/PCIe%20NVMe%20Workload%20Accelerator%20HHHL.jpg-119,10,381,357,412,19.17,0.000%,2.63366,77.25,0.98,30035.0
SSD/mainstream.php-120,10,366,340,439,26.30,0.000%,2.63644,29.70,1.11,11535.0
SSD/js/mainstream.js-121,10,427,330,993,190.49,0.000%,2.26757,2.73,0.74,1234.0
SSD/recommendation.php-122,10,599,399,1437,350.26,0.000%,1.81258,29.96,0.77,16923.0
SSD/css/jquery-ui.css-126,10,362,340,393,16.27,0.000%,1.82282,17.05,0.63,9580.5
SSD/css/customSlider.css-128,10,434,333,998,189.76,0.000%,1.82149,2.46,0.63,1384.0
SSD/css/bootstrapslider.css-127,10,399,331,697,102.93,0.000%,1.85048,5.07,0.65,2806.3
SSD/css/bootstrap/bootstrap.min.css-125,10,568,352,1074,247.18,0.000%,1.85426,40.08,0.66,22134.7
SSD/js/recommendation.js-129,10,419,336,922,168.60,0.000%,1.87793,12.05,0.62,6571.5
SSD/js/customSlider.js-133,10,401,333,666,92.23,0.000%,1.88857,4.70,0.62,2547.8
SSD/images/HPE%20SSD%20Portfolio%20Alignment.jpg-124,10,3123,853,4786,1525.69,0.000%,1.22339,317.96,0.45,266138.0
SSD/js/validation.js-135,10,337,331,345,4.69,0.000%,1.40193,1.76,0.46,1282.5
SSD/js/bootstrap/bootstrap.min.js-134,10,382,339,686,101.20,0.000%,1.39958,19.22,0.48,14065.7
SSD/js/jquery-ui.min.js-132,10,920,414,1718,364.29,0.000%,1.36314,99.67,0.45,74873.4
SSD/js/serverCompatibility.js-136,10,347,328,374,15.20,0.000%,1.37457,1.44,0.46,1075.0
SSD/api/result_api.php-137,10,400,376,425,13.70,0.000%,1.36277,2.36,1.04,1774.0
SSD/api/server_model_api.php?sid=5-138,10,383,370,403,9.53,0.000%,1.37193,0.73,0.69,544.0
SSD/images/-139,10,339,330,360,8.37,100.000%,1.38274,0.48,0.46,356.0
TOTAL,530,487,325,4786,474.73,1.887%,17.87340,336.05,7.18,19252.6
