Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SSD/images/hpe-flag.png-75,50,1634,1336,2083,199.66,0.000%,.98785,0.95,0.36,981.0
SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,50,845,682,2004,214.98,0.000%,1.01090,45.85,0.43,46442.0
SSD/css/hpe_fonts/MetricWeb-Light.woff-78,50,449,358,1722,198.23,0.000%,1.01581,44.24,0.43,44598.0
SSD/images/landingPage.jpg-73,50,881,711,2242,249.62,0.000%,1.00642,115.66,0.35,117676.0
SSD/workload.php-82,50,416,346,753,88.31,0.000%,1.01410,11.43,0.41,11546.0
SSD/js/workload.js-83,50,403,335,817,85.90,0.000%,1.01231,2.99,0.32,3021.3
SSD/css/fonts/hpe-icons.woff-85,50,441,348,921,132.60,0.000%,1.01170,33.83,0.39,34245.0
SSD/css/hpe_fonts/MetricWeb-Medium.woff-84,50,460,360,853,129.16,0.000%,1.01159,40.92,0.40,41426.0
SSD/api/workload_api.php-86,50,461,375,803,104.55,0.000%,1.00772,1.02,0.49,1036.0
SSD/ssd-type.php-87,50,409,343,645,60.27,0.000%,1.01086,12.24,0.42,12401.0
SSD/js/ssd-type.js-88,50,417,334,821,109.95,0.000%,1.00969,1.57,0.32,1595.0
SSD/css/hpe_fonts/HPESimpleWeb-Regular.woff-89,50,425,339,699,85.08,0.000%,1.00927,16.92,0.40,17162.0
SSD/server-type.php-90,50,409,342,794,81.02,0.000%,1.00869,12.11,0.42,12295.0
SSD/js/server-type.js-91,50,398,327,747,93.68,0.000%,1.00908,2.85,0.33,2895.8
SSD/css/hpe_fonts/MetricWeb-Regular.woff-92,50,501,356,1427,186.84,0.000%,1.00837,44.48,0.40,45174.0
SSD/api/server_model_api.php?sid=null-96,50,454,366,859,100.93,0.000%,.99870,0.51,0.50,519.0
SSD/api/server_type_api.php-97,50,458,374,749,82.30,0.000%,.99840,0.65,0.49,662.0
SSD/api/server_model_api.php?sid=5-98,50,471,366,865,110.35,0.000%,.99800,0.53,0.50,544.0
