Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SSD/images/hpe-flag.png-75,15,1449,1352,1855,128.34,0.000%,3.57824,3.43,1.30,981.0
SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,15,711,675,774,30.89,0.000%,4.81850,218.54,2.04,46442.0
SSD/css/hpe_fonts/MetricWeb-Light.woff-78,15,361,340,386,11.94,0.000%,5.35906,233.40,2.26,44598.0
SSD/images/landingPage.jpg-73,15,777,693,1369,162.18,0.000%,4.58996,527.47,1.62,117676.0
SSD/workload.php-82,15,473,340,897,183.47,0.000%,5.16351,58.22,2.09,11546.0
SSD/js/workload.js-83,15,356,336,453,29.84,0.000%,5.18493,15.43,1.66,3047.7
SSD/css/fonts/hpe-icons.woff-85,15,377,344,464,29.36,0.000%,5.11422,171.03,1.97,34245.0
SSD/css/hpe_fonts/MetricWeb-Medium.woff-84,15,414,351,696,84.18,0.000%,5.11945,207.11,2.03,41426.0
SSD/api/workload_api.php-86,15,507,377,1151,199.76,0.000%,5.05221,5.11,2.46,1036.0
SSD/ssd-type.php-87,15,400,342,659,77.71,0.000%,5.34188,64.69,2.23,12401.0
SSD/js/ssd-type.js-88,15,353,329,398,23.42,0.000%,6.05327,9.51,1.94,1608.9
SSD/css/hpe_fonts/HPESimpleWeb-Regular.woff-89,15,372,336,462,37.27,0.000%,6.07042,101.74,2.43,17162.0
SSD/server-type.php-90,15,373,341,443,30.49,0.000%,6.11746,73.45,2.57,12295.0
SSD/js/server-type.js-91,15,359,336,396,15.01,0.000%,6.15511,17.61,2.01,2930.3
SSD/css/hpe_fonts/MetricWeb-Regular.woff-92,15,404,345,684,78.73,0.000%,5.66038,249.71,2.25,45174.0
SSD/api/server_model_api.php?sid=null-96,15,409,389,438,15.83,0.000%,5.63698,2.86,2.84,519.0
SSD/api/server_type_api.php-97,15,402,366,470,29.02,0.000%,5.74713,3.72,2.83,662.0
SSD/api/server_model_api.php?sid=5-98,15,412,379,462,25.36,0.000%,5.78481,3.07,2.89,544.0
SSD/drive-capacity.php-99,15,367,338,408,25.27,0.000%,5.93120,65.70,2.53,11343.0
SSD/js/drive-capacity.js-101,15,344,330,398,15.58,0.000%,6.11496,10.44,2.03,1747.6
SSD/css/noUiSlider/distribute/nouislider.min.js-100,15,347,335,368,10.64,0.000%,6.10749,54.97,2.17,9216.4
SSD/css/noUiSlider/distribute/nouislider.min.css-102,15,342,330,358,8.13,0.000%,6.16016,10.06,2.28,1671.9
SSD/api/drive_capacity_api.php?server_id=1&model_name=BL460c%20Gen10&loadtype=[%22WI%22]-103,15,384,367,411,9.76,0.000%,6.07533,2.98,3.38,503.0
SSD/interface-type.php-104,15,347,333,360,7.38,0.000%,6.12245,71.51,2.62,11960.0
SSD/js/interface-type.js-105,15,342,332,371,9.64,0.000%,6.13999,15.80,2.04,2634.3
SSD/api/interface_type_api.php-109,15,392,368,426,14.55,0.000%,6.04595,4.14,3.02,702.0
SSD/api/interface_api.php-110,15,388,374,410,9.83,0.000%,6.10501,3.23,3.33,541.0
SSD/form-factor.php-111,15,349,337,376,10.10,0.000%,6.19323,66.07,2.64,10924.0
SSD/js/form-factor.js-112,15,344,330,378,11.73,0.000%,6.23960,15.02,2.04,2465.0
SSD/api/form_factor_api.php-113,15,877,378,7698,1823.00,0.000%,1.53767,1.21,0.76,809.0
SSD/api/form_factor_type_api.php-117,15,2733,372,7823,3335.96,0.000%,1.53171,0.81,0.88,544.0
SSD/images/LFF%20SATA.jpg-115,15,358,344,384,11.39,0.000%,1.53155,36.96,0.52,24714.0
SSD/images/SFF%20SATA.jpg-116,15,360,338,375,10.82,0.000%,1.53453,32.46,0.52,21660.0
SSD/images/M.2-Enablement-Kit-for-MLDL-single.jpg-114,15,363,339,382,12.21,0.000%,1.53421,44.43,0.56,29656.0
SSD/images/SSD%20SATA%20M.2%202280.JPG-118,15,370,346,399,16.91,0.000%,1.53516,44.94,0.54,29979.0
SSD/images/PCIe%20NVMe%20Workload%20Accelerator%20HHHL.jpg-119,15,366,351,404,16.80,0.000%,1.54083,45.19,0.57,30035.0
SSD/mainstream.php-120,15,503,337,1158,270.30,0.000%,1.51960,17.12,0.64,11535.0
SSD/js/mainstream.js-121,15,347,328,381,14.99,0.000%,1.51976,1.83,0.49,1234.0
SSD/recommendation.php-122,15,3738,424,6484,2711.41,0.000%,1.50557,24.88,0.64,16923.0
SSD/css/jquery-ui.css-126,15,367,343,397,15.44,0.000%,3.87998,35.96,1.33,9489.7
SSD/css/customSlider.css-128,15,361,330,390,17.61,0.000%,3.89509,5.26,1.35,1384.0
