Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SSD/images/hpe-flag.png-75,50,1463,1336,1960,123.80,0.000%,.62547,0.60,0.23,981.0
SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,50,721,660,932,46.17,0.000%,.63516,28.81,0.27,46442.0
SSD/css/hpe_fonts/MetricWeb-Light.woff-78,50,377,346,502,28.23,0.000%,.63787,27.78,0.27,44598.0
SSD/images/landingPage.jpg-73,50,774,682,1565,168.49,0.000%,.63478,72.95,0.22,117676.0
SSD/workload.php-82,50,369,337,493,30.15,0.000%,.63748,7.19,0.26,11546.0
SSD/js/workload.js-83,50,362,329,512,31.44,0.000%,.63629,1.88,0.20,3021.3
SSD/css/fonts/hpe-icons.woff-85,50,381,344,798,75.48,0.000%,.63624,21.28,0.25,34245.0
SSD/css/hpe_fonts/MetricWeb-Medium.woff-84,50,411,345,747,102.25,0.000%,.63607,25.73,0.25,41426.0
SSD/api/workload_api.php-86,50,409,364,548,36.24,0.000%,.63462,0.64,0.31,1036.0
SSD/ssd-type.php-87,50,386,341,726,67.28,0.000%,.63536,7.69,0.26,12401.0
SSD/js/ssd-type.js-88,50,362,323,494,31.46,0.000%,.63542,0.99,0.20,1595.0
SSD/css/hpe_fonts/HPESimpleWeb-Regular.woff-89,50,370,333,615,43.51,0.000%,.63517,10.65,0.25,17162.0
SSD/server-type.php-90,50,366,334,422,19.61,0.000%,.63533,7.63,0.27,12295.0
SSD/js/server-type.js-91,50,356,326,445,24.07,0.000%,.63545,1.80,0.21,2895.8
SSD/css/hpe_fonts/MetricWeb-Regular.woff-92,50,406,346,760,97.95,0.000%,.63498,28.01,0.25,45174.0
SSD/api/server_model_api.php?sid=null-96,50,405,368,487,22.81,0.000%,.63486,0.32,0.32,519.0
SSD/api/server_type_api.php-97,50,408,370,607,39.86,0.000%,.63510,0.41,0.31,662.0
SSD/api/server_model_api.php?sid=5-98,50,398,363,511,24.59,0.000%,.63578,0.34,0.32,544.0
SSD/drive-capacity.php-99,50,379,338,532,42.92,0.000%,.63642,7.05,0.27,11343.0
SSD/js/drive-capacity.js-101,50,358,322,458,30.32,0.000%,.63633,1.08,0.21,1734.6
