Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SSD/images/hpe-flag.png-75,50,1640,1365,2954,312.47,0.000%,1.23041,1.18,0.45,981.0
SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,50,804,678,1833,184.17,0.000%,1.26432,57.34,0.54,46442.0
SSD/css/hpe_fonts/MetricWeb-Light.woff-78,50,442,357,1386,163.40,0.000%,1.27541,55.55,0.54,44598.0
SSD/images/landingPage.jpg-73,50,873,704,1883,253.21,0.000%,1.26043,144.85,0.44,117676.0
SSD/workload.php-82,50,428,342,1431,164.32,0.000%,1.27142,14.34,0.52,11546.0
SSD/js/workload.js-83,50,392,333,833,89.27,0.000%,1.27136,3.75,0.41,3021.3
SSD/css/fonts/hpe-icons.woff-85,50,430,349,1211,165.94,0.000%,1.27013,42.48,0.49,34245.0
SSD/css/hpe_fonts/MetricWeb-Medium.woff-84,50,471,357,1274,173.32,0.000%,1.26952,51.36,0.50,41426.0
SSD/api/workload_api.php-86,50,555,375,3025,445.17,0.000%,1.26723,1.28,0.62,1036.0
SSD/ssd-type.php-87,50,416,340,1217,144.56,0.000%,1.26926,15.37,0.53,12401.0
SSD/js/ssd-type.js-88,50,410,326,1424,155.20,0.000%,1.26968,1.98,0.41,1595.0
SSD/css/hpe_fonts/HPESimpleWeb-Regular.woff-89,50,436,338,1369,203.83,0.000%,1.26949,21.28,0.51,17162.0
SSD/server-type.php-90,50,402,342,642,67.78,0.000%,1.26926,15.24,0.53,12295.0
SSD/js/server-type.js-91,50,399,335,816,91.52,0.000%,1.26929,3.59,0.41,2895.8
SSD/css/hpe_fonts/MetricWeb-Regular.woff-92,50,544,356,1651,303.88,0.000%,1.26894,55.98,0.50,45174.0
SSD/api/server_model_api.php?sid=null-96,50,497,371,3284,403.78,0.000%,1.25964,0.64,0.63,519.0
SSD/api/server_type_api.php-97,50,566,378,1928,370.33,0.000%,1.26065,0.81,0.62,662.0
SSD/api/server_model_api.php?sid=5-98,50,500,373,2999,372.53,0.000%,1.25868,0.67,0.63,544.0
SSD/drive-capacity.php-99,50,423,341,1520,187.72,0.000%,1.25222,13.87,0.53,11343.0
SSD/js/drive-capacity.js-101,50,404,329,1357,147.76,0.000%,1.24853,2.11,0.41,1734.6
SSD/css/noUiSlider/distribute/nouislider.min.js-100,50,427,336,1378,190.99,0.000%,1.24963,11.14,0.44,9129.3
SSD/css/noUiSlider/distribute/nouislider.min.css-102,50,398,326,893,90.63,0.000%,1.24944,2.02,0.46,1658.7
