timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1598276904213,709,SSD/css/fonts/hpe-icons.woff-85,200,OK,SSD Selector Tool 1-16,text,true,,34247,395,36,36,https://ssdhpestage.azurewebsites.net/css/fonts/hpe-icons.woff,654,0,0
1598276904288,647,SSD/server-type.php-90,200,OK,SSD Selector Tool 1-8,text,true,,12295,430,36,36,https://ssdhpestage.azurewebsites.net/server-type.php,637,0,0
1598276903628,1314,SSD/images/landingPage.jpg-73,200,OK,SSD Selector Tool 1-20,bin,true,,117676,361,36,36,https://ssdhpestage.azurewebsites.net/images/landingPage.jpg,623,0,0
1598276904491,466,SSD/js/ssd-type.js-88,200,OK,SSD Selector Tool 1-11,text,true,,1618,328,36,36,https://ssdhpestage.azurewebsites.net/js/ssd-type.js,466,0,0
1598276904449,509,SSD/css/fonts/hpe-icons.woff-85,200,OK,SSD Selector Tool 1-15,text,true,,34247,395,36,36,https://ssdhpestage.azurewebsites.net/css/fonts/hpe-icons.woff,491,0,0
1598276902124,2838,SSD/images/landingPage.jpg-73,200,OK,SSD Selector Tool 1-17,bin,true,,117676,361,36,36,https://ssdhpestage.azurewebsites.net/images/landingPage.jpg,1034,0,0
1598276904514,465,SSD/css/hpe_fonts/MetricWeb-Light.woff-78,200,OK,SSD Selector Tool 1-24,text,true,,44600,431,36,36,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Light.woff,447,0,0
1598276904544,461,SSD/css/hpe_fonts/MetricWeb-Regular.woff-92,200,OK,SSD Selector Tool 1-6,text,true,,45176,407,36,36,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Regular.woff,442,0,0
1598276904555,518,SSD/api/server_model_api.php?sid=null-96,200,OK,SSD Selector Tool 1-4,text,true,,519,515,37,37,https://ssdhpestage.azurewebsites.net/api/server_model_api.php?sid=null,518,0,0
1598276904553,522,SSD/workload.php-82,200,OK,SSD Selector Tool 1-19,text,true,,11546,415,37,37,https://ssdhpestage.azurewebsites.net/workload.php,496,0,0
1598276902654,2426,SSD/images/hpe-flag.png-75,200,OK,SSD Selector Tool 1-29,bin,true,,981,373,37,37,https://ssdhpestage.azurewebsites.net/images/hpe-flag.png,2426,0,2050
1598276902110,2981,SSD/css/hpe_fonts/MetricWeb-Medium.woff-84,200,OK,SSD Selector Tool 1-10,text,true,,41428,406,37,37,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Medium.woff,546,0,0
1598276904013,1086,SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,200,OK,SSD Selector Tool 1-26,text,true,,46444,434,37,37,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Semibold.woff,707,0,0
1598276904729,393,SSD/css/hpe_fonts/MetricWeb-Light.woff-78,200,OK,SSD Selector Tool 1-25,text,true,,44600,431,37,37,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Light.woff,377,0,0
1598276904713,420,SSD/css/hpe_fonts/MetricWeb-Regular.woff-92,200,OK,SSD Selector Tool 1-5,text,true,,45176,407,37,37,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Regular.woff,408,0,0
1598276904738,405,SSD/js/workload.js-83,200,OK,SSD Selector Tool 1-18,text,true,,3067,328,37,37,https://ssdhpestage.azurewebsites.net/js/workload.js,404,0,0
1598276904733,411,SSD/css/hpe_fonts/HPESimpleWeb-Regular.woff-89,200,OK,SSD Selector Tool 1-9,text,true,,17164,410,37,37,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/HPESimpleWeb-Regular.woff,407,0,0
1598276902124,3023,SSD/ssd-type.php-87,200,OK,SSD Selector Tool 1-7,text,true,,12401,427,37,37,https://ssdhpestage.azurewebsites.net/ssd-type.php,1034,0,0
1598276904755,397,SSD/ssd-type.php-87,200,OK,SSD Selector Tool 1-13,text,true,,12401,427,37,37,https://ssdhpestage.azurewebsites.net/ssd-type.php,393,0,0
1598276904742,412,SSD/js/server-type.js-91,200,OK,SSD Selector Tool 1-3,text,true,,2956,334,37,37,https://ssdhpestage.azurewebsites.net/js/server-type.js,412,0,0
1598276904759,415,SSD/css/hpe_fonts/MetricWeb-Light.woff-78,200,OK,SSD Selector Tool 1-23,text,true,,44600,431,37,37,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Light.woff,400,0,0
1598276904752,426,SSD/ssd-type.php-87,200,OK,SSD Selector Tool 1-12,text,true,,12401,427,37,37,https://ssdhpestage.azurewebsites.net/ssd-type.php,422,0,0
1598276904712,466,SSD/api/server_type_api.php-97,200,OK,SSD Selector Tool 1-1,text,true,,646,505,37,37,https://ssdhpestage.azurewebsites.net/api/server_type_api.php,466,0,0
1598276904733,447,SSD/api/server_type_api.php-97,200,OK,SSD Selector Tool 1-2,text,true,,646,505,37,37,https://ssdhpestage.azurewebsites.net/api/server_type_api.php,447,0,0
1598276904157,1025,SSD/images/landingPage.jpg-73,200,OK,SSD Selector Tool 1-22,bin,true,,117676,361,37,37,https://ssdhpestage.azurewebsites.net/images/landingPage.jpg,599,0,0
1598276902957,2367,SSD/images/hpe-flag.png-75,200,OK,SSD Selector Tool 1-30,bin,true,,981,373,37,37,https://ssdhpestage.azurewebsites.net/images/hpe-flag.png,2367,0,1966
1598276904936,397,SSD/js/server-type.js-91,200,OK,SSD Selector Tool 1-8,text,true,,2956,334,37,37,https://ssdhpestage.azurewebsites.net/js/server-type.js,397,0,0
1598276904943,396,SSD/workload.php-82,200,OK,SSD Selector Tool 1-20,text,true,,11546,415,37,37,https://ssdhpestage.azurewebsites.net/workload.php,387,0,0
1598276902187,3157,SSD/workload.php-82,200,OK,SSD Selector Tool 1-14,text,true,,11546,415,37,37,https://ssdhpestage.azurewebsites.net/workload.php,547,0,0
1598276904923,427,SSD/css/hpe_fonts/MetricWeb-Medium.woff-84,200,OK,SSD Selector Tool 1-16,text,true,,41428,406,37,37,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Medium.woff,380,0,0
1598276904957,397,SSD/css/hpe_fonts/HPESimpleWeb-Regular.woff-89,200,OK,SSD Selector Tool 1-11,text,true,,17164,410,37,37,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/HPESimpleWeb-Regular.woff,388,0,0
1598276904962,393,SSD/workload.php-82,200,OK,SSD Selector Tool 1-17,text,true,,11546,415,37,37,https://ssdhpestage.azurewebsites.net/workload.php,388,0,0
1598276904959,406,SSD/css/hpe_fonts/MetricWeb-Medium.woff-84,200,OK,SSD Selector Tool 1-15,text,true,,41428,406,38,38,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Medium.woff,396,0,0
1598276903709,1733,SSD/images/landingPage.jpg-73,200,OK,SSD Selector Tool 1-21,bin,true,,117676,361,38,38,https://ssdhpestage.azurewebsites.net/images/landingPage.jpg,837,0,0
1598276905005,442,SSD/api/server_model_api.php?sid=null-96,200,OK,SSD Selector Tool 1-6,text,true,,519,515,38,38,https://ssdhpestage.azurewebsites.net/api/server_model_api.php?sid=null,442,0,0
1598276905076,373,SSD/js/workload.js-83,200,OK,SSD Selector Tool 1-19,text,true,,3067,328,38,38,https://ssdhpestage.azurewebsites.net/js/workload.js,372,0,0
1598276905100,390,SSD/css/hpe_fonts/MetricWeb-Light.woff-78,200,OK,SSD Selector Tool 1-26,text,true,,44600,431,38,38,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Light.woff,367,0,0
1598276905074,429,SSD/api/server_type_api.php-97,200,OK,SSD Selector Tool 1-4,text,true,,646,505,38,38,https://ssdhpestage.azurewebsites.net/api/server_type_api.php,429,0,0
1598276905092,411,SSD/api/workload_api.php-86,200,OK,SSD Selector Tool 1-10,text,true,,1036,499,38,38,https://ssdhpestage.azurewebsites.net/api/workload_api.php,411,0,0
1598276905152,361,SSD/js/ssd-type.js-88,200,OK,SSD Selector Tool 1-13,text,true,,1618,328,38,38,https://ssdhpestage.azurewebsites.net/js/ssd-type.js,361,0,0
1598276903553,1977,SSD/images/hpe-flag.png-75,200,OK,SSD Selector Tool 1-32,bin,true,,981,373,38,38,https://ssdhpestage.azurewebsites.net/images/hpe-flag.png,1977,0,1588
1598276905148,385,SSD/js/ssd-type.js-88,200,OK,SSD Selector Tool 1-7,text,true,,1618,328,38,38,https://ssdhpestage.azurewebsites.net/js/ssd-type.js,385,0,0
1598276904739,797,SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,200,OK,SSD Selector Tool 1-28,text,true,,46444,434,38,38,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Semibold.woff,398,0,0
1598276904732,825,SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,200,OK,SSD Selector Tool 1-27,text,true,,46444,434,38,38,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Semibold.woff,394,0,0
1598276905145,425,SSD/server-type.php-90,200,OK,SSD Selector Tool 1-9,text,true,,12295,430,38,38,https://ssdhpestage.azurewebsites.net/server-type.php,413,0,0
1598276905143,446,SSD/css/fonts/hpe-icons.woff-85,200,OK,SSD Selector Tool 1-18,text,true,,34247,395,38,38,https://ssdhpestage.azurewebsites.net/css/fonts/hpe-icons.woff,411,0,0
1598276903254,2335,SSD/images/hpe-flag.png-75,200,OK,SSD Selector Tool 1-31,bin,true,,981,373,38,38,https://ssdhpestage.azurewebsites.net/images/hpe-flag.png,2335,0,1907
1598276905183,420,SSD/workload.php-82,200,OK,SSD Selector Tool 1-22,text,true,,11546,415,38,38,https://ssdhpestage.azurewebsites.net/workload.php,418,0,0
1598276905133,480,SSD/api/server_model_api.php?sid=null-96,200,OK,SSD Selector Tool 1-5,text,true,,519,515,38,38,https://ssdhpestage.azurewebsites.net/api/server_model_api.php?sid=null,480,0,0
1598276905178,485,SSD/api/server_model_api.php?sid=5-98,200,OK,SSD Selector Tool 1-1,text,true,,544,512,39,39,https://ssdhpestage.azurewebsites.net/api/server_model_api.php?sid=5,485,0,0
1598276905178,485,SSD/js/ssd-type.js-88,200,OK,SSD Selector Tool 1-12,text,true,,1618,328,39,39,https://ssdhpestage.azurewebsites.net/js/ssd-type.js,485,0,0
1598276905180,491,SSD/api/server_model_api.php?sid=5-98,200,OK,SSD Selector Tool 1-2,text,true,,544,512,39,39,https://ssdhpestage.azurewebsites.net/api/server_model_api.php?sid=5,491,0,0
